timestamp_iso,timestamp_unix,elapsed_sec,frame_type,has_acc,has_gyro,has_angle,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,roll_deg,pitch_deg,yaw_deg
2021-03-27 02:03:13,1616810593.402395,331.532294,angle,1,1,1,-0.015625,-0.058105,1.049805,-1.831055,-1.708984,-4.272461,-8.673706,13.875732,115.735474
2021-03-27 02:03:13,1616810593.423167,331.553067,angle,1,1,1,-0.026855,-0.074707,0.935059,-2.624512,3.051758,-0.122070,-8.833008,13.947144,115.751953
2021-03-27 02:03:13,1616810593.441874,331.571773,angle,1,1,1,-0.004395,0.052246,0.820312,-3.967285,6.042480,-0.061035,-8.997803,14.117432,115.779419
2021-03-27 02:03:13,1616810593.462652,331.592551,angle,1,1,1,0.025879,0.077637,0.837891,-1.892090,7.141113,-1.892090,-9.107666,14.320679,115.773926
2021-03-27 02:03:13,1616810593.481358,331.611258,angle,1,1,1,-0.020508,-0.222656,0.895020,1.464844,6.652832,-2.319336,-9.058228,14.496460,115.697021
2021-03-27 02:03:13,1616810593.502128,331.632027,angle,1,1,1,-0.128906,-0.110840,0.836914,0.915527,5.310059,-1.831055,-8.970337,14.600830,115.675049
2021-03-27 02:03:13,1616810593.522898,331.652797,angle,1,1,1,-0.106445,0.064453,0.863281,0.122070,4.638672,-2.014160,-8.920898,14.655762,115.565186
2021-03-27 02:03:13,1616810593.541631,331.671525,angle,1,1,1,-0.104004,-0.034180,1.063477,0.732422,4.333496,-2.075195,-8.865967,14.721680,115.285034
2021-03-27 02:03:13,1616810593.562427,331.692326,angle,1,1,1,-0.004395,0.025391,1.035645,-0.061035,3.784180,-3.479004,-8.805542,14.798584,115.021362
2021-03-27 02:03:13,1616810593.581118,331.711018,angle,1,1,1,0.083008,0.214844,1.027832,-2.868652,3.173828,-5.493164,-8.827515,14.848022,114.702759
2021-03-27 02:03:13,1616810593.601883,331.731783,angle,1,1,1,0.065430,0.074707,1.017090,-1.953125,1.464844,-5.249023,-8.876953,14.859009,114.279785
2021-03-27 02:03:13,1616810593.622650,331.752550,angle,1,1,1,-0.038086,-0.084473,1.122070,-0.244141,-0.732422,-3.967285,-8.915405,14.853516,113.862305
2021-03-27 02:03:13,1616810593.641346,331.771245,angle,1,1,1,-0.037598,0.118652,1.121582,-3.112793,-0.488281,-2.746582,-8.986816,14.826050,113.494263
2021-03-27 02:03:13,1616810593.662111,331.792010,angle,1,1,1,-0.089844,0.112793,1.016113,-3.540039,-1.770020,-3.356934,-9.102173,14.760132,113.109741
2021-03-27 02:03:13,1616810593.682884,331.812783,angle,1,1,1,-0.213379,-0.082520,1.005371,-2.258301,-1.342773,-3.601074,-9.206543,14.677734,112.730713
2021-03-27 02:03:13,1616810593.701590,331.831489,angle,1,1,1,-0.229004,-0.044434,0.892090,-3.417969,-1.403809,-3.173828,-9.299927,14.611816,112.483521
2021-03-27 02:03:13,1616810593.722358,331.852257,angle,1,1,1,-0.169922,0.034668,0.808105,-2.929688,-0.976562,-4.760742,-9.382324,14.540405,112.252808
2021-03-27 02:03:13,1616810593.741099,331.870997,angle,1,1,1,-0.122070,-0.038574,0.780273,-1.342773,-0.061035,-5.004883,-9.404297,14.485474,112.170410
2021-03-27 02:03:13,1616810593.761889,331.891788,angle,1,1,1,-0.155762,-0.235352,0.838379,0.000000,0.061035,-3.845215,-9.371338,14.408569,112.390137
